All_Time_Ranking;Club;Points;Matches;Won;Drawn;Lost;Goals_For;Goals_Against;Goals_Difference;Participations;Champion
1;Corinthians;3785;2576;1448;628;500;5200;2774;2426;107;30
2;Palmeiras;3696;2507;1411;606;490;4983;2625;2358;104;23
3;São Paulo;3443;2316;1297;564;455;4547;2363;2184;89;21
4;Santos;3433;2495;1292;573;630;5120;3276;1844;105;22
5;Portuguesa;2695;2287;976;586;725;3825;3203;622;92;3
6;Guarani;2101;1939;726;539;674;2733;2609;124;67;0
7; Ponte Preta;1919;1656;630;492;534;2207;2027;180;57;0
8;Juventus;1741;1945;596;487;862;2529;3202;-673;71;0
9;Botafogo;1653;1626;534;475;617;1956;2178;-222;55;0
10;Ferroviária;1389;1440;463;434;543;1674;1792;-118;45;0
11;América;1315;1359;423;414;522;1429;1704;-275;44;0
12;XV de Piracicaba;1189;1350;383;391;576;1608;2057;-449;46;0
13;São Bento;1025;1145;326;342;477;1076;1450;-374;36;0
14;Noroeste;1023;1147;339;310;498;1344;1703;-359;37;0
15;Portuguesa Santista;972;1183;338;242;603;1610;2269;-659;50;0
16;Comercial-RP;862;948;298;258;392;1065;1313;-248;31;0
17; XV de Jaú;739;888;243;248;397;981;1341;-360;26;0
18;Mogi Mirim;730;642;207;188;247;814;928;-114;29;0
19;Inter de Limeira;706;689;220;219;250;755;829;-74;24;1
20;Ypiranga;678;824;277;120;427;1403;1902;-499;46;0
21;Santo André;655;623;187;213;223;657;742;-85;25;0
22;Marília;628;708;188;217;303;719;932;-213;25;0
23;Ituano;602;508;168;141;199;600;686;-86;26;2
24;Paulista;585;660;172;164;324;736;1018;-282;28;0
25;Bragantino;529;466;161;123;182;551;593;-42;21;1
26;Paulistano;512;355;232;50;73;963;417;546;28;11
27;Rio Branco;485;407;140;107;160;578;597;-19;18;0
28;Jabaquara;481;701;187;107;407;1091;1693;-602;30;0
29;União São João;452;413;129;128;156;551;606;-55;18;0
30;Taubaté;388;478;136;116;226;581;783;-202;14;0
31;Nacional;385;540;147;92;301;876;1349;-473;23;0
32;São Caetano;369;269;104;64;101;368;364;4;15;1
33;São José;358;364;107;129;128;361;420;-59;12;0
34;Novorizontino;322;332;94;121;117;356;386;-30;11;0
35;SC Internacional;302;373;121;60;192;588;891;-303;29;2
36;AA São Bento;283;319;117;48;154;558;698;-140;20;2
37;Germânia;267;335;115;37;183;607;798;-191;27;2
38;Linense;250;277;73;65;139;367;593;-226;13;0
39;Comercial-SP;244;384;88;68;228;566;1043;-477;16;0
40;AA das Palmeiras;243;295;105;33;157;536;684;-148;23;3
41;Mirassol;230;183;59;53;71;252;258;-6;10;0
42;Araçatuba;186;187;56;46;85;201;284;-83;8;0
43;Oeste;178;170;47;49;74;212;257;-45;10;0
44;Sírio;174;213;76;24;113;390;527;-137;14;0
45;Francana;174;216;44;86;86;185;259;-74;5;0
46;União Barbarense;173;138;43;42;53;190;214;-24;8;0
47;Grêmio Barueri;148;105;41;25;39;159;162;-3;5;0
48;Prudentina;137;174;50;37;87;233;317;-84;6;0
49;Atlético Santista;134;131;54;26;51;284;263;21;7;0
50;Guaratinguetá;132;101;38;18;45;132;140;-8;5;0
51;Auto;123;164;48;27;89;255;397;-142;12;0
52;Matonense;121;103;34;19;50;173;199;-26;5;0
53;São Bernardo FC;112;96;30;22;44;113;137;-24;6;0
54;Red Bull;111;79;30;21;28;100;102;-2;5;0
55;São Bento-SCS;106;124;38;30;56;179;229;-50;4;0
56;São Paulo Athletic;105;105;46;13;46;188;205;-17;11;4
57;Mackenzie;102;132;42;18;72;240;304;-64;13;0
58;Americano;102;75;40;20;15;171;94;77;8;2
59;Saad;99;102;37;25;40;111;117;-6;2;0
60;RioClaro;99;102;24;27;51;112;166;-54;6;0
61;Grêmio Novorizontino;96;70;24;24;22;83;98;-15;5;0
62;Esportiva;90;120;31;28;61;137;220;-83;4;0
63;Taquaritinga;86;102;27;32;43;89;124;-35;3;0
64;Audax;83;61;22;17;22;88;81;7;4;0
65;Catanduvense;75;132;20;37;75;78;199;-121;5;0
66;Sãocarlense;70;78;22;26;30;94;106;-12;3;0
67;Penapolense;67;55;19;10;26;65;70;-5;3;0
68;Olímpia;62;78;19;24;35;62;98;-36;3;0
69;Estudantes;60;50;27;7;16;126;82;44;4;0
70;Antarctica;60;69;20;20;29;116;160;-44;4;0
71;CS América;55;86;23;10;53;126;258;-132;6;0
72;Atlético Sorocaba;55;62;13;16;33;80;112;-32;4;0
73;Sertãozinho;48;57;11;15;31;62;104;-42;3;0
74;Independência;47;41;19;9;13;101;81;20;3;0
75;Radium;42;58;15;12;31;74;122;-48;2;0
76;Campos Elí­seos;38;30;16;6;8;55;44;11;3;0
77;Rio Preto;37;45;10;13;22;42;57;-15;2;0
78;São Caetano EC;33;27;14;5;8;59;56;3;2;0
79;Bandeirante;32;49;7;18;24;29;61;-32;2;0
80;Luzitano;28;69;11;6;52;66;222;-156;6;0
81;Corinthians-PP;27;38;11;5;22;51;75;-24;1;0
82;Água Santa;27;27;6;9;12;23;43;-20;2;0
83;Capivariano;26;30;6;8;16;37;57;-20;2;0
84;União Lapa;24;31;11;2;18;44;105;-61;2;0
85;Velo Clube;21;38;5;11;22;22;52;-30;1;0
86;Albion;19;24;8;3;13;46;74;-28;2;0
87;Independência/Sant'Anna;18;22;8;2;12;50;58;-8;1;0
88;CA Paulista;17;47;6;5;36;76;183;-107;3;0
89;Libanês;15;14;6;3;5;27;34;-7;1;0
90;Monte Azul;15;19;3;6;10;23;41;-18;1;0
91;Primeiro de Maio;14;24;6;2;16;45;69;-24;2;0
92;República;13;13;6;1;6;29;39;-10;1;0
93;Humberto I;13;26;5;3;18;37;78;-41;2;0
94;Grêmio Catanduvense;13;19;2;7;10;19;36;-17;1;0
95;Maranhão;12;19;5;2;12;17;37;-20;2;0
96;Alumni;10;8;4;2;2;7;11;-4;1;0
97;Jardim América;10;15;4;2;9;25;40;-15;1;0
98;Vicentino;10;20;4;2;14;17;35;-18;2;0
99;Scottish Wanderers;10;20;4;3;13;28;49;-21;2;0
100;Tremembé;9;12;2;5;5;11;25;-14;1;0
101;Ordem e Progresso;8;26;4;0;22;37;98;-61;2;0
102;Ítalo;7;7;3;1;3;8;8;0;1;0
103;Corinthians-SBC;7;13;3;1;9;20;43;-23;1;0
104;Barra Funda;7;11;3;1;7;11;37;-26;1;0
105;SC Americano;7;13;3;1;9;17;48;-31;1;0
106;Paysandu;7;9;2;3;4;4;9;-5;1;0
107;Ruggerone;5;12;2;1;9;5;9;-4;1;0
108;Hydecroft;5;8;2;1;5;7;13;-6;1;0
109;CA Internacional;4;19;1;2;16;7;36;-29;2;0
110;Sant'Anna;2;12;0;2;10;11;30;-19;1;0
111;Britannia;2;14;0;2;12;20;64;-44;1;0
112;Independente EC;0;2;0;0;2;3;5;-2;1;0
